"subject_id","n_epochs"
"sub-001",1
"sub-002",1
"sub-003",1
"sub-004",1
"sub-005",1
"sub-006",1
"sub-007",2
"sub-008",1
"sub-009",1
"sub-010",1
"sub-011",1
"sub-012",1
"sub-013",1
"sub-014",1
"sub-016",1
"sub-017",1
"sub-019",1
"sub-021",1
"sub-022",2
"sub-024",1
"sub-025",1
"sub-027",1
"sub-028",1
"sub-029",2
"sub-030",1
"sub-031",1
"sub-032",1
"sub-033",1
"sub-034",1
"sub-035",1
"sub-036",1
"sub-037",1
"sub-038",1
"sub-039",1
"sub-040",1
"sub-041",1
"sub-042",1
"sub-043",1
"sub-046",1
"sub-047",1
"sub-048",1
"sub-049",1
"sub-050",1
"sub-052",1
"sub-053",1
"sub-055",2
"sub-057",1
"sub-058",2
"sub-059",2
"sub-060",1
"sub-061",1
"sub-062",1
"sub-063",2
"sub-064",1
"sub-065",1
"sub-066",1
"sub-068",1
"sub-069",1
"sub-070",1
"sub-071",1
"sub-072",1
"sub-073",1
